ExportDate;StudioVersionRec;StudioProjectName;StudioTestName;ParticipantName;[Q01]Value;RecordingName;RecordingDate;RecordingDuration;RecordingResolution;FixationFilter;MediaName;MediaPosX (ADCSpx);MediaPosY (ADCSpx);MediaWidth;MediaHeight;SegmentName;SegmentStart;SegmentEnd;SegmentDuration;SceneName;SceneSegmentStart;SceneSegmentEnd;SceneSegmentDuration;RecordingTimestamp;LocalTimeStamp;EyeTrackerTimestamp;MouseEventIndex;MouseEvent;MouseEventX (ADCSpx);MouseEventY (ADCSpx);MouseEventX (MCSpx);MouseEventY (MCSpx);KeyPressEventIndex;KeyPressEvent;StudioEventIndex;StudioEvent;StudioEventData;ExternalEventIndex;ExternalEvent;ExternalEventValue;EventMarkerValue;FixationIndex;SaccadeIndex;GazeEventType;GazeEventDuration;FixationPointX (MCSpx);FixationPointY (MCSpx);AOI[CatUL_face]Hit;AOI[CatUR_face]Hit;AOI[CatLR_face]Hit;AOI[CatLL_face]Hit;AOI[CatUL_body]Hit;AOI[CatUR_body]Hit;AOI[CatLL_body]Hit;AOI[CatLR_body]Hit;AOI[DogUL_body]Hit;AOI[DogUR_body]Hit;AOI[DogLL_body]Hit;AOI[DogLR_body]Hit;AOI[DogUL_face]Hit;AOI[DogUR_face]Hit;AOI[DogLL_face]Hit;AOI[DogLR_face]Hit;AOI[BabyUL_body]Hit;AOI[BabyUR_body]Hit;AOI[BabyLL_body]Hit;AOI[BabyLR_body]Hit;AOI[BabyUL_face]Hit;AOI[BabyUR_face]Hit;AOI[BabyLL_face]Hit;AOI[BabyLR_face]Hit;GazePointIndex;GazePointLeftX (ADCSpx);GazePointLeftY (ADCSpx);GazePointRightX (ADCSpx);GazePointRightY (ADCSpx);GazePointX (ADCSpx);GazePointY (ADCSpx);GazePointX (MCSpx);GazePointY (MCSpx);GazePointLeftX (ADCSmm);GazePointLeftY (ADCSmm);GazePointRightX (ADCSmm);GazePointRightY (ADCSmm);StrictAverageGazePointX (ADCSmm);StrictAverageGazePointY (ADCSmm);EyePosLeftX (ADCSmm);EyePosLeftY (ADCSmm);EyePosLeftZ (ADCSmm);EyePosRightX (ADCSmm);EyePosRightY (ADCSmm);EyePosRightZ (ADCSmm);CamLeftX;CamLeftY;CamRightX;CamRightY;DistanceLeft;DistanceRight;PupilLeft;PupilRight;ValidityLeft;ValidityRight;IRMarkerCount;IRMarkerID;PupilGlassesRight
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51154;13:12:50.375;;;;;;;;;;1;ImageStart;2.png;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51156;13:12:50.377;1673269142142750;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;783;614;749;596;766;605;766;545;211,55;158,28;202,25;163,33;206,90;160,80;209,71;233,99;573,22;268,31;231,22;581,96;;;;;625,70;625,70;4,80;4,95;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51173;13:12:50.393;1673269142159380;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;2;794;617;746;593;770;605;770;545;214,58;157,51;201,59;164,01;208,08;160,76;209,70;234,05;573,19;268,33;231,20;581,81;;;;;625,69;625,69;4,73;4,86;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51189;13:12:50.410;1673269142176000;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;3;789;618;743;591;766;604;766;544;213,23;157,28;200,67;164,56;206,95;160,92;209,72;234,11;573,14;268,33;231,31;581,90;;;;;625,67;625,67;4,64;4,79;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51206;13:12:50.427;1673269142192750;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;4;796;629;741;601;768;615;768;555;214,88;154,42;200,06;162,01;207,47;158,22;209,70;234,14;573,05;268,34;231,37;581,88;;;;;625,61;625,61;4,54;4,69;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51223;13:12:50.443;1673269142209370;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;5;794;619;734;597;764;608;764;548;214,50;157,03;198,35;163,07;206,42;160,05;209,69;234,15;573,05;268,32;231,44;582,01;;;;;625,61;625,61;4,47;4,61;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51239;13:12:50.460;1673269142225990;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;6;790;629;747;590;768;609;768;549;213,35;154,20;201,76;164,76;207,56;159,48;209,67;234,13;573,03;268,28;231,40;582,05;;;;;625,58;625,58;4,40;4,51;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51256;13:12:50.477;1673269142242620;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;7;792;626;746;593;769;609;769;549;213,85;155,21;201,63;164,01;207,74;159,61;209,66;233,96;572,98;268,23;231,22;581,91;;;;;625,47;625,47;4,30;4,43;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51273;13:12:50.493;1673269142259360;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;8;792;619;738;597;765;608;765;548;214,05;157,11;199,37;163,03;206,71;160,07;209,61;233,82;573,10;268,21;231,01;581,90;;;;;625,52;625,52;4,23;4,34;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;2.png;0;60;1920;1080;;;;;;;;;51289;13:12:50.510;1673269142275990;;;;;;;;;;;;;;;;1;;Fixation;466;766;545;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;9;794;619;739;595;766;607;766;547;214,57;156,89;199,56;163,52;207,06;160,20;209,57;233,55;573,11;268,18;230,70;581,81;;;;;625,41;625,41;4,13;4,27;0;0;;;
