ExportDate;StudioVersionRec;StudioProjectName;StudioTestName;ParticipantName;[Q01]Value;RecordingName;RecordingDate;RecordingDuration;RecordingResolution;FixationFilter;MediaName;MediaPosX (ADCSpx);MediaPosY (ADCSpx);MediaWidth;MediaHeight;SegmentName;SegmentStart;SegmentEnd;SegmentDuration;SceneName;SceneSegmentStart;SceneSegmentEnd;SceneSegmentDuration;RecordingTimestamp;LocalTimeStamp;EyeTrackerTimestamp;MouseEventIndex;MouseEvent;MouseEventX (ADCSpx);MouseEventY (ADCSpx);MouseEventX (MCSpx);MouseEventY (MCSpx);KeyPressEventIndex;KeyPressEvent;StudioEventIndex;StudioEvent;StudioEventData;ExternalEventIndex;ExternalEvent;ExternalEventValue;EventMarkerValue;FixationIndex;SaccadeIndex;GazeEventType;GazeEventDuration;FixationPointX (MCSpx);FixationPointY (MCSpx);AOI[CatUL_face]Hit;AOI[CatUR_face]Hit;AOI[CatLR_face]Hit;AOI[CatLL_face]Hit;AOI[CatUL_body]Hit;AOI[CatUR_body]Hit;AOI[CatLL_body]Hit;AOI[CatLR_body]Hit;AOI[DogUL_body]Hit;AOI[DogUR_body]Hit;AOI[DogLL_body]Hit;AOI[DogLR_body]Hit;AOI[DogUL_face]Hit;AOI[DogUR_face]Hit;AOI[DogLL_face]Hit;AOI[DogLR_face]Hit;AOI[BabyUL_body]Hit;AOI[BabyUR_body]Hit;AOI[BabyLL_body]Hit;AOI[BabyLR_body]Hit;AOI[BabyUL_face]Hit;AOI[BabyUR_face]Hit;AOI[BabyLL_face]Hit;AOI[BabyLR_face]Hit;GazePointIndex;GazePointLeftX (ADCSpx);GazePointLeftY (ADCSpx);GazePointRightX (ADCSpx);GazePointRightY (ADCSpx);GazePointX (ADCSpx);GazePointY (ADCSpx);GazePointX (MCSpx);GazePointY (MCSpx);GazePointLeftX (ADCSmm);GazePointLeftY (ADCSmm);GazePointRightX (ADCSmm);GazePointRightY (ADCSmm);StrictAverageGazePointX (ADCSmm);StrictAverageGazePointY (ADCSmm);EyePosLeftX (ADCSmm);EyePosLeftY (ADCSmm);EyePosLeftZ (ADCSmm);EyePosRightX (ADCSmm);EyePosRightY (ADCSmm);EyePosRightZ (ADCSmm);CamLeftX;CamLeftY;CamRightX;CamRightY;DistanceLeft;DistanceRight;PupilLeft;PupilRight;ValidityLeft;ValidityRight;IRMarkerCount;IRMarkerID;PupilGlassesRight
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;885;13:12:00.106;;;;;;;;;;1;ImageStart;1.png;;;;;1;;Fixation;450;793;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;893;13:12:00.114;1673269091884470;;;;;;;;;;;;;;;;1;;Fixation;450;793;425;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;1;987;546;885;536;936;541;936;481;266,63;176,85;239,07;179,49;252,85;178,17;215,37;231,80;576,28;274,16;229,71;583,35;;;;;627,10;627,10;3,94;4,05;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;910;13:12:00.131;1673269091901090;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;2;1090;540;983;545;1036;542;1036;482;294,51;178,24;265,48;177,00;280,00;177,62;215,74;231,78;576,52;274,48;229,62;583,48;;;;;627,28;627,28;3,93;4,05;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;927;13:12:00.148;1673269091917840;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;3;1108;553;977;544;1042;548;1042;488;299,21;174,82;263,77;177,16;281,49;175,99;215,88;231,76;576,52;274,62;229,60;583,52;;;;;627,26;627,26;3,96;4,06;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;943;13:12:00.164;1673269091934460;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;4;1113;560;986;547;1049;553;1049;493;300,57;172,94;266,20;176,56;283,38;174,75;215,90;231,81;576,67;274,69;229,51;583,41;;;;;627,42;627,42;3,94;4,09;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;960;13:12:00.181;1673269091951080;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;5;1113;561;990;551;1051;556;1051;496;300,62;172,83;267,36;175,35;283,99;174,09;215,98;231,79;576,69;274,80;229,58;583,62;;;;;627,42;627,42;3,96;4,10;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;977;13:12:00.198;1673269091967700;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;6;1114;557;987;549;1050;553;1050;493;300,94;173,67;266,53;175,89;283,74;174,78;216,06;231,80;576,73;274,90;229,49;583,50;;;;;627,46;627,46;3,98;4,11;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;993;13:12:00.214;1673269091984450;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;7;1104;538;984;586;1044;562;1044;502;298,16;179,00;265,89;166,03;282,03;172,52;216,18;231,71;576,63;275,01;229,73;583,94;;;;;627,32;627,32;3,99;4,14;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;1010;13:12:00.231;1673269092001070;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;8;1099;543;991;579;1045;561;1045;501;296,93;177,54;267,79;167,76;282,36;172,65;216,26;231,76;576,77;275,10;229,84;584,26;;;;;627,46;627,46;3,99;4,15;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;1.png;0;60;1920;1080;;;;;;;;;1027;13:12:00.248;1673269092017700;;;;;;;;;;;;;;;;2;;Fixation;283;1048;496;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;9;1101;538;993;582;1047;560;1047;500;297,46;178,91;268,33;167,08;282,89;173,00;216,33;231,78;576,84;275,19;229,74;584,09;;;;;627,53;627,53;4,00;4,16;0;0;;;
