ExportDate;StudioVersionRec;StudioProjectName;StudioTestName;ParticipantName;[Q01]Value;RecordingName;RecordingDate;RecordingDuration;RecordingResolution;FixationFilter;MediaName;MediaPosX (ADCSpx);MediaPosY (ADCSpx);MediaWidth;MediaHeight;SegmentName;SegmentStart;SegmentEnd;SegmentDuration;SceneName;SceneSegmentStart;SceneSegmentEnd;SceneSegmentDuration;RecordingTimestamp;LocalTimeStamp;EyeTrackerTimestamp;MouseEventIndex;MouseEvent;MouseEventX (ADCSpx);MouseEventY (ADCSpx);MouseEventX (MCSpx);MouseEventY (MCSpx);KeyPressEventIndex;KeyPressEvent;StudioEventIndex;StudioEvent;StudioEventData;ExternalEventIndex;ExternalEvent;ExternalEventValue;EventMarkerValue;FixationIndex;SaccadeIndex;GazeEventType;GazeEventDuration;FixationPointX (MCSpx);FixationPointY (MCSpx);AOI[CatUL_face]Hit;AOI[CatUR_face]Hit;AOI[CatLR_face]Hit;AOI[CatLL_face]Hit;AOI[CatUL_body]Hit;AOI[CatUR_body]Hit;AOI[CatLL_body]Hit;AOI[CatLR_body]Hit;AOI[DogUL_body]Hit;AOI[DogUR_body]Hit;AOI[DogLL_body]Hit;AOI[DogLR_body]Hit;AOI[DogUL_face]Hit;AOI[DogUR_face]Hit;AOI[DogLL_face]Hit;AOI[DogLR_face]Hit;AOI[BabyUL_body]Hit;AOI[BabyUR_body]Hit;AOI[BabyLL_body]Hit;AOI[BabyLR_body]Hit;AOI[BabyUL_face]Hit;AOI[BabyUR_face]Hit;AOI[BabyLL_face]Hit;AOI[BabyLR_face]Hit;GazePointIndex;GazePointLeftX (ADCSpx);GazePointLeftY (ADCSpx);GazePointRightX (ADCSpx);GazePointRightY (ADCSpx);GazePointX (ADCSpx);GazePointY (ADCSpx);GazePointX (MCSpx);GazePointY (MCSpx);GazePointLeftX (ADCSmm);GazePointLeftY (ADCSmm);GazePointRightX (ADCSmm);GazePointRightY (ADCSmm);StrictAverageGazePointX (ADCSmm);StrictAverageGazePointY (ADCSmm);EyePosLeftX (ADCSmm);EyePosLeftY (ADCSmm);EyePosLeftZ (ADCSmm);EyePosRightX (ADCSmm);EyePosRightY (ADCSmm);EyePosRightZ (ADCSmm);CamLeftX;CamLeftY;CamRightX;CamRightY;DistanceLeft;DistanceRight;PupilLeft;PupilRight;ValidityLeft;ValidityRight;IRMarkerCount;IRMarkerID;PupilGlassesRight
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29243;13:12:28.464;;;;;;;;;;1;ImageStart;Projekt bez tytu³u.png;;;;;1;;Fixation;683;882;524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29255;13:12:28.476;1673269120244010;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;1;902;610;859;551;880;580;880;520;243,59;159,58;232,12;175,26;237,86;167,42;217,50;241,46;582,06;275,29;241,05;595,36;;;;;636,29;636,29;5,02;5,22;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29271;13:12:28.492;1673269120260620;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;2;910;609;854;549;882;579;882;519;245,67;159,82;230,58;175,93;238,12;167,87;217,30;241,20;582,44;275,12;241,06;595,72;;;;;636,54;636,54;4,94;5,17;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29288;13:12:28.509;1673269120277250;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;3;903;615;850;555;876;585;876;525;243,84;158,17;229,47;174,26;236,65;166,22;217,09;240,88;582,89;274,98;240,98;596,12;;;;;636,82;636,82;4,85;5,09;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29305;13:12:28.526;1673269120293880;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;4;912;629;849;571;880;600;880;540;246,27;154,44;229,32;169,97;237,80;162,20;216,87;240,69;583,55;274,83;240,76;596,11;;;;;637,34;637,34;4,74;4,98;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29321;13:12:28.542;1673269120310620;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;5;903;617;857;571;880;594;880;534;243,89;157,55;231,61;169,96;237,75;163,75;216,74;240,35;583,82;274,74;240,65;596,29;;;;;637,45;637,45;4,67;4,88;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29338;13:12:28.559;1673269120327240;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;6;907;619;849;574;878;596;878;536;244,96;156,98;229,31;169,25;237,14;163,12;216,60;240,32;584,56;274,67;240,50;596,32;;;;;638,11;638,11;4,57;4,76;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29355;13:12:28.575;1673269120343870;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;7;914;618;844;580;879;599;879;539;246,80;157,27;227,97;167,63;237,39;162,45;216,49;240,22;585,09;274,65;240,48;596,55;;;;;638,56;638,56;4,50;4,69;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29371;13:12:28.592;1673269120360500;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;8;910;626;835;578;872;602;872;542;245,72;155,15;225,53;168,05;235,62;161,60;216,42;240,01;585,28;274,64;240,45;596,71;;;;;638,64;638,64;4,41;4,60;0;0;;;
2023-01-19;3.2.2;ET psychophysiology 1;New test;P01;1;Rec 01;2023-01-09;66893;1920 x 1200;Tobii Fixation Filter;Projekt bez tytu³u.png;0;60;1920;1080;;;;;;;;;29388;13:12:28.609;1673269120377240;;;;;;;;;;;;;;;;1;;Fixation;683;882;524;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;9;912;636;845;581;878;608;878;548;246,27;152,36;228,13;167,19;237,20;159,77;216,37;239,85;585,60;274,62;240,53;597,21;;;;;638,87;638,87;4,33;4,50;0;0;;;
